m,unknowns,carry_bits
9,0,0
15,0,0
25,7,3
21,7,2
35,2,0
49,9,5
33,9,5
55,7,2
77,14,6
121,14,7
39,7,2
65,14,7
91,11,4
143,14,6
169,17,9
51,3,0
85,13,5
119,11,4
187,14,6
221,16,7
289,21,11
57,9,4
95,10,3
133,17,8
209,17,9
247,14,6
323,18,9
361,21,11
69,14,6
115,10,4
161,17,9
253,16,7
299,18,8
391,19,9
437,21,10
529,24,13
87,11,4
145,17,9
203,14,6
319,18,8
377,21,11
493,21,10
551,22,11
667,21,10
841,24,13
93,13,5
155,14,6
217,17,9
341,21,10
403,18,9
527,21,10
589,24,12
713,24,13
899,21,11
961,24,13
111,11,4
185,17,9
259,18,9
407,19,9
481,21,11
629,24,12
703,21,10
851,21,11
1073,30,17
1147,26,13
1369,30,17
123,11,4
205,17,8
287,18,8
451,18,9
533,24,12
697,24,13
779,21,10
943,21,10
1189,29,15
1271,26,13
1517,28,14
1681,30,17
129,17,9
215,14,6
301,21,10
473,21,11
559,21,10
731,21,10
817,24,13
989,24,12
1247,25,12
1333,30,16
1591,28,15
1763,25,13
1849,30,17
141,17,8
235,14,6
329,21,11
517,24,12
611,21,11
799,21,10
893,24,12
1081,30,17
1363,27,15
1457,29,16
1739,25,12
1927,28,15
2021,28,14
2209,33,19
159,13,5
265,21,11
371,18,9
583,22,11
689,24,13
901,24,12
1007,21,10
1219,26,14
1537,31,18
1643,26,13
1961,29,16
2173,33,18
2279,30,16
2491,28,14
2809,32,18
177,17,9
295,19,9
413,21,10
649,24,13
767,21,10
1003,21,10
1121,29,16
1357,30,16
1711,26,13
1829,30,16
2183,32,18
2419,29,16
2537,31,17
2773,33,18
3127,32,18
3481,34,20
183,14,6
305,21,11
427,18,8
671,21,10
793,24,13
1037,31,17
1159,28,15
1403,26,13
1769,28,15
1891,26,14
2257,33,19
2501,33,18
2623,31,17
2867,30,17
3233,33,19
3599,31,17
3721,34,20
201,17,9
335,18,8
469,21,10
737,24,13
871,22,11
1139,26,14
1273,28,15
1541,31,17
1943,28,15
2077,35,20
2479,29,15
2747,29,15
2881,34,20
3149,34,19
3551,28,14
3953,32,18
4087,29,15
4489,40,24
213,16,7
355,18,9
497,21,11
781,24,12
923,21,10
1207,27,14
1349,30,16
1633,29,16
2059,30,16
2201,34,20
2627,31,18
2911,29,15
3053,31,16
3337,35,21
3763,30,17
4189,40,23
4331,35,19
4757,40,23
5041,39,23
219,14,6
365,21,10
511,18,8
803,21,11
949,24,12
1241,29,16
1387,26,13
1679,26,13
2117,34,19
2263,31,17
2701,34,19
2993,32,18
3139,31,18
3431,30,16
3869,35,20
4307,37,22
4453,39,22
4891,36,20
5183,36,20
5329,40,24
237,17,8
395,18,8
553,24,13
869,24,12
1027,28,16
1343,27,14
1501,29,15
1817,31,18
2291,29,16
2449,34,20
2923,29,15
3239,31,17
3397,34,19
3713,34,20
4187,35,19
4661,39,22
4819,37,22
5293,39,22
5609,39,23
5767,38,22
6241,39,23
249,17,9
415,18,8
581,24,12
913,24,13
1079,28,15
1411,27,15
1577,30,17
1909,29,15
2407,30,16
2573,35,20
3071,28,14
3403,29,15
3569,31,17
3901,33,18
4399,36,20
4897,39,23
5063,38,22
5561,39,23
5893,40,23
6059,36,20
6557,40,23
6889,39,23
267,18,8
445,21,10
623,21,10
979,21,11
1157,30,16
1513,28,15
1691,25,12
2047,25,12
2581,35,20
2759,31,17
3293,33,18
3649,34,20
3827,29,16
4183,38,22
4717,39,22
5251,37,22
5429,39,22
5963,35,19
6319,36,20
6497,39,23
7031,37,21
7387,35,19
7921,39,23
291,18,9
485,21,10
679,22,11
1067,26,13
1261,28,14
1649,29,16
1843,27,15
2231,31,17
2813,32,17
3007,29,15
3589,35,20
3977,34,20
4171,35,19
