m,unknowns,carry_bits
9,5,3
15,6,3
25,10,6
21,9,6
35,14,10
49,14,10
33,14,10
55,15,10
77,20,15
121,21,15
39,14,10
65,20,15
91,20,15
143,27,21
169,27,21
51,15,10
85,21,15
119,21,15
187,28,21
221,28,21
289,36,28
57,15,10
95,21,15
133,27,21
209,28,21
247,28,21
323,36,28
361,36,28
69,20,15
115,21,15
161,27,21
253,28,21
299,35,28
391,36,28
437,36,28
529,44,36
87,20,15
145,27,21
203,27,21
319,35,28
377,35,28
493,36,28
551,44,36
667,44,36
841,44,36
93,20,15
155,27,21
217,27,21
341,35,28
403,35,28
527,44,36
589,44,36
713,44,36
899,44,36
961,44,36
111,21,15
185,28,21
259,35,28
407,36,28
481,36,28
629,45,36
703,45,36
851,45,36
1073,54,45
1147,54,45
1369,55,45
123,21,15
205,28,21
287,35,28
451,36,28
533,44,36
697,45,36
779,45,36
943,45,36
1189,54,45
1271,54,45
1517,55,45
1681,55,45
129,27,21
215,28,21
301,35,28
473,36,28
559,44,36
731,45,36
817,45,36
989,45,36
1247,54,45
1333,54,45
1591,55,45
1763,55,45
1849,55,45
141,27,21
235,28,21
329,35,28
517,44,36
611,44,36
799,45,36
893,45,36
1081,54,45
1363,54,45
1457,54,45
1739,55,45
1927,55,45
2021,55,45
2209,65,55
159,27,21
265,35,28
371,35,28
583,44,36
689,44,36
901,45,36
1007,45,36
1219,54,45
1537,54,45
1643,54,45
1961,55,45
2173,65,55
2279,65,55
2491,65,55
2809,65,55
177,27,21
295,35,28
413,35,28
649,44,36
767,44,36
1003,45,36
1121,54,45
1357,54,45
1711,54,45
1829,54,45
2183,65,55
2419,65,55
2537,65,55
2773,65,55
3127,65,55
3481,65,55
183,27,21
305,35,28
427,35,28
671,44,36
793,44,36
1037,54,45
1159,54,45
1403,54,45
1769,54,45
1891,54,45
2257,65,55
2501,65,55
2623,65,55
2867,65,55
3233,65,55
3599,65,55
3721,65,55
201,28,21
335,36,28
469,36,28
737,45,36
871,45,36
1139,55,45
1273,55,45
1541,55,45
1943,55,45
2077,65,55
2479,66,55
2747,66,55
2881,66,55
3149,66,55
3551,66,55
3953,66,55
4087,66,55
4489,78,66
213,28,21
355,36,28
497,36,28
781,45,36
923,45,36
1207,55,45
1349,55,45
1633,55,45
2059,65,55
2201,65,55
2627,66,55
2911,66,55
3053,66,55
3337,66,55
3763,66,55
4189,77,66
4331,77,66
4757,78,66
5041,78,66
219,28,21
365,36,28
511,36,28
803,45,36
949,45,36
1241,55,45
1387,55,45
1679,55,45
2117,65,55
2263,65,55
2701,66,55
2993,66,55
3139,66,55
3431,66,55
3869,66,55
4307,77,66
4453,77,66
4891,78,66
5183,78,66
5329,78,66
237,28,21
395,36,28
553,44,36
869,45,36
1027,54,45
1343,55,45
1501,55,45
1817,55,45
2291,65,55
2449,65,55
2923,66,55
3239,66,55
3397,66,55
3713,66,55
4187,77,66
4661,77,66
4819,77,66
5293,78,66
5609,78,66
5767,78,66
6241,78,66
249,28,21
415,36,28
581,44,36
913,45,36
1079,54,45
1411,55,45
1577,55,45
1909,55,45
2407,65,55
2573,65,55
3071,66,55
3403,66,55
3569,66,55
3901,66,55
4399,77,66
4897,77,66
5063,77,66
5561,78,66
5893,78,66
6059,78,66
6557,78,66
6889,78,66
267,35,28
445,36,28
623,44,36
979,45,36
1157,54,45
1513,55,45
1691,55,45
2047,55,45
2581,65,55
2759,65,55
3293,66,55
3649,66,55
3827,66,55
4183,77,66
4717,77,66
5251,77,66
5429,77,66
5963,78,66
6319,78,66
6497,78,66
7031,78,66
7387,78,66
7921,78,66
291,35,28
485,36,28
679,44,36
1067,54,45
1261,54,45
1649,55,45
1843,55,45
2231,65,55
2813,65,55
3007,65,55
3589,66,55
3977,66,55
4171,77,66
4559,77,66
5141,77,66
5723,77,66
5917,77,66
6499,78,66
6887,78,66
7081,78,66
7663,78,66
8051,78,66
8633,90,78
9409,90,78
303,35,28
505,36,28
707,44,36
1111,54,45
1313,54,45
1717,55,45
1919,55,45
2323,65,55
2929,65,55
3131,65,55
3737,66,55
4141,77,66
4343,77,66
4747,77,66
5353,77,66
5959,77,66
6161,77,66
6767,78,66
7171,78,66
7373,78,66
7979,78,66
8383,90,78
8989,90,78
9797,90,78
10201,90,78
309,35,28
515,44,36
721,44,36
1133,54,45
1339,54,45
1751,55,45
1957,55,45
2369,65,55
2987,65,55
3193,65,55
3811,66,55
4223,77,66
4429,77,66
4841,77,66
5459,77,66
6077,77,66
6283,77,66
6901,78,66
7313,78,66
7519,78,66
8137,78,66
8549,90,78
9167,90,78
9991,90,78
10403,90,78
10609,90,78
321,35,28
535,44,36
749,44,36
1177,54,45
1391,54,45
1819,55,45
2033,55,45
2461,65,55
3103,65,55
3317,65,55
3959,66,55
4387,77,66
4601,77,66
5029,77,66
5671,77,66
6313,77,66
6527,77,66
7169,78,66
7597,78,66
7811,78,66
8453,90,78
8881,90,78
9523,90,78
10379,90,78
10807,90,78
11021,90,78
11449,90,78
327,35,28
545,44,36
763,44,36
1199,54,45
1417,54,45
1853,55,45
2071,65,55
2507,65,55
3161,65,55
3379,65,55
4033,66,55
4469,77,66
4687,77,66
5123,77,66
5777,77,66
6431,77,66
6649,77,66
7303,78,66
7739,78,66
7957,78,66
8611,90,78
9047,90,78
9701,90,78
10573,90,78
11009,90,78
11227,90,78
11663,90,78
11881,90,78
339,35,28
565,44,36
791,44,36
1243,54,45
1469,54,45
1921,55,45
2147,65,55
2599,65,55
3277,65,55
3503,65,55
4181,77,66
4633,77,66
4859,77,66
5311,77,66
5989,77,66
6667,77,66
6893,77,66
7571,78,66
8023,78,66
8249,90,78
8927,90,78
9379,90,78
10057,90,78
10961,90,78
11413,90,78
11639,90,78
12091,90,78
12317,90,78
12769,90,78
381,35,28
635,44,36
889,44,36
1397,54,45
1651,54,45
2159,65,55
2413,65,55
2921,65,55
3683,65,55
3937,65,55
4699,77,66
5207,77,66
5461,77,66
5969,77,66
6731,77,66
7493,77,66
7747,77,66
8509,90,78
9017,90,78
9271,90,78
10033,90,78
10541,90,78
11303,90,78
12319,90,78
12827,90,78
13081,90,78
13589,90,78
13843,90,78
14351,90,78
16129,90,78
393,36,28
655,45,36
917,45,36
1441,55,45
1703,55,45
2227,66,55
2489,66,55
3013,66,55
3799,66,55
4061,66,55
4847,78,66
5371,78,66
5633,78,66
6157,78,66
6943,78,66
7729,78,66
7991,78,66
8777,91,78
9301,91,78
9563,91,78
10349,91,78
10873,91,78
11659,91,78
12707,91,78
13231,91,78
13493,91,78
14017,91,78
14279,91,78
14803,91,78
16637,104,91
17161,105,91
411,36,28
685,45,36
959,45,36
1507,55,45
1781,55,45
2329,66,55
2603,66,55
3151,66,55
3973,66,55
4247,77,66
5069,78,66
5617,78,66
5891,78,66
6439,78,66
7261,78,66
8083,78,66
8357,90,78
9179,91,78
9727,91,78
10001,91,78
10823,91,78
11371,91,78
12193,91,78
13289,91,78
13837,91,78
14111,91,78
14659,91,78
14933,91,78
15481,91,78
17399,104,91
17947,105,91
18769,105,91
417,36,28
695,45,36
973,45,36
1529,55,45
1807,55,45
2363,66,55
2641,66,55
3197,66,55
4031,66,55
4309,77,66
5143,78,66
5699,78,66
5977,78,66
6533,78,66
7367,78,66
8201,90,78
8479,90,78
9313,91,78
9869,91,78
10147,91,78
10981,91,78
11537,91,78
12371,91,78
13483,91,78
14039,91,78
14317,91,78
14873,91,78
15151,91,78
15707,91,78
17653,104,91
18209,105,91
19043,105,91
19321,105,91
447,36,28
745,45,36
1043,54,45
1639,55,45
1937,55,45
2533,66,55
2831,66,55
3427,66,55
4321,77,66
4619,77,66
5513,78,66
6109,78,66
6407,78,66
7003,78,66
7897,78,66
8791,90,78
9089,90,78
9983,91,78
10579,91,78
10877,91,78
11771,91,78
12367,91,78
13261,91,78
14453,91,78
15049,91,78
15347,91,78
15943,91,78
16241,91,78
16837,104,91
18923,104,91
19519,105,91
20413,105,91
20711,105,91
22201,105,91
453,36,28
755,45,36
1057,54,45
1661,55,45
1963,55,45
2567,66,55
2869,66,55
3473,66,55
4379,77,66
4681,77,66
5587,78,66
6191,78,66
6493,78,66
7097,78,66
8003,78,66
8909,90,78
9211,90,78
10117,91,78
10721,91,78
11023,91,78
11929,91,78
12533,91,78
13439,91,78
14647,91,78
15251,91,78
15553,91,78
16157,91,78
16459,104,91
17063,104,91
19177,104,91
19781,105,91
20687,105,91
20989,105,91
22499,105,91
22801,105,91
471,36,28
785,45,36
1099,54,45
1727,55,45
2041,55,45
2669,66,55
2983,66,55
3611,66,55
4553,77,66
4867,77,66
5809,78,66
6437,78,66
6751,78,66
7379,78,66
8321,90,78
9263,90,78
9577,90,78
10519,91,78
11147,91,78
11461,91,78
12403,91,78
13031,91,78
13973,91,78
15229,91,78
15857,91,78
16171,91,78
16799,104,91
17113,104,91
17741,104,91
19939,104,91
20567,105,91
21509,105,91
21823,105,91
23393,105,91
23707,105,91
24649,105,91
