m,steps,squared_overlap,bfgs_evaluations
1981.0000,1.0000,0.5258,66.0000
1981.0000,2.0000,0.8275,240.0000
1981.0000,3.0000,0.9997,483.0000
1981.0000,4.0000,1.0000,810.0000
1981.0000,5.0000,1.0000,770.0000
1981.0000,6.0000,1.0000,767.0000
1981.0000,7.0000,1.0000,795.0000
1981.0000,8.0000,1.0000,850.0000
319.0000,1.0000,0.3616,21.0000
319.0000,2.0000,0.3683,60.0000
319.0000,3.0000,0.3853,133.0000
319.0000,4.0000,0.4084,198.0000
319.0000,5.0000,0.4127,506.0000
319.0000,6.0000,0.4479,585.0000
319.0000,7.0000,0.4483,630.0000
319.0000,8.0000,0.4549,1224.0000
69169.0000,1.0000,0.3812,39.0000
69169.0000,2.0000,0.3802,75.0000
69169.0000,3.0000,0.3997,210.0000
69169.0000,4.0000,0.4020,297.0000
69169.0000,5.0000,0.4179,385.0000
69169.0000,6.0000,0.4148,455.0000
69169.0000,7.0000,0.4045,630.0000
69169.0000,8.0000,0.4149,986.0000
2893.0000,1.0000,0.4969,30.0000
2893.0000,2.0000,0.6546,100.0000
2893.0000,3.0000,0.6880,238.0000
2893.0000,4.0000,0.6823,279.0000
2893.0000,5.0000,0.6836,374.0000
2893.0000,6.0000,0.6785,494.0000
2893.0000,7.0000,0.6837,750.0000
2893.0000,8.0000,0.9700,2941.0000
56153.0000,1.0000,0.5753,24.0000
56153.0000,2.0000,0.6085,65.0000
56153.0000,3.0000,0.6269,175.0000
56153.0000,4.0000,0.7388,855.0000
56153.0000,5.0000,0.7511,1056.0000
56153.0000,6.0000,0.7474,611.0000
56153.0000,7.0000,0.7558,705.0000
56153.0000,8.0000,0.7508,527.0000
291311.0000,1.0000,0.4923,21.0000
291311.0000,2.0000,0.4933,60.0000
291311.0000,3.0000,0.4974,182.0000
291311.0000,4.0000,0.4986,234.0000
291311.0000,5.0000,0.5003,374.0000
291311.0000,6.0000,0.5029,806.0000
291311.0000,7.0000,0.5038,3465.0000
