m,steps,squared_overlap,bfgs_evaluations
1981.0000,1.0000,0.5194,93.0000
1981.0000,2.0000,0.5604,565.0000
1981.0000,3.0000,0.5551,1201.0000
1981.0000,4.0000,0.5346,1600.0000
1981.0000,5.0000,0.8735,2001.0000
1981.0000,6.0000,0.9112,2400.0000
1981.0000,7.0000,0.9972,2800.0000
1981.0000,8.0000,0.9799,3201.0000
319.0000,1.0000,0.3626,75.0000
319.0000,2.0000,0.3648,207.0000
319.0000,3.0000,0.3822,535.0000
319.0000,4.0000,0.4066,1600.0000
319.0000,5.0000,0.4170,2000.0000
319.0000,6.0000,0.4230,2400.0000
319.0000,7.0000,0.4252,2800.0000
319.0000,8.0000,0.4359,3200.0000
69169.0000,1.0000,0.3728,82.0000
69169.0000,2.0000,0.3854,233.0000
69169.0000,3.0000,0.3996,527.0000
69169.0000,4.0000,0.4089,1040.0000
69169.0000,5.0000,0.4058,2000.0000
69169.0000,6.0000,0.4100,2311.0000
69169.0000,7.0000,0.4048,2800.0000
2893.0000,1.0000,0.5090,68.0000
2893.0000,2.0000,0.6529,203.0000
2893.0000,3.0000,0.7339,747.0000
2893.0000,4.0000,0.7749,1600.0000
2893.0000,5.0000,0.7823,2000.0000
2893.0000,6.0000,0.7914,2400.0000
2893.0000,7.0000,0.6933,2800.0000
2893.0000,8.0000,0.6928,3200.0000
56153.0000,1.0000,0.5786,71.0000
56153.0000,2.0000,0.6057,230.0000
56153.0000,3.0000,0.6261,442.0000
56153.0000,4.0000,0.7051,1392.0000
56153.0000,5.0000,0.7519,2001.0000
56153.0000,6.0000,0.7462,1776.0000
56153.0000,7.0000,0.7436,2260.0000
56153.0000,8.0000,0.7484,1259.0000
291311.0000,1.0000,0.4877,70.0000
291311.0000,2.0000,0.4957,173.0000
291311.0000,3.0000,0.4990,970.0000
291311.0000,4.0000,0.4953,1601.0000
291311.0000,5.0000,0.5042,2000.0000
