m,steps,squared_overlap,bfgs_evaluations
1981.0000,1.0000,0.5183,125.0000
1981.0000,2.0000,0.8314,366.0000
1981.0000,3.0000,0.9997,1092.0000
1981.0000,4.0000,1.0000,1581.0000
1981.0000,5.0000,1.0000,972.0000
1981.0000,6.0000,1.0000,1678.0000
1981.0000,7.0000,1.0000,971.0000
1981.0000,8.0000,1.0000,2874.0000
319.0000,1.0000,0.3689,320.0000
319.0000,2.0000,0.3625,115.0000
319.0000,3.0000,0.3892,780.0000
319.0000,4.0000,0.4135,321.0000
319.0000,5.0000,0.4207,1151.0000
319.0000,6.0000,0.4482,785.0000
319.0000,7.0000,0.4736,3501.0000
319.0000,8.0000,0.5007,1351.0000
69169.0000,1.0000,0.3769,137.0000
69169.0000,2.0000,0.3876,354.0000
69169.0000,3.0000,0.4069,988.0000
69169.0000,4.0000,0.4119,1222.0000
69169.0000,5.0000,0.4039,2509.0000
69169.0000,6.0000,0.4138,1994.0000
69169.0000,7.0000,0.4097,2316.0000
69169.0000,8.0000,0.4097,2838.0000
2893.0000,1.0000,0.4988,41.0000
2893.0000,2.0000,0.6533,558.0000
2893.0000,3.0000,0.6576,732.0000
2893.0000,4.0000,0.7859,761.0000
2893.0000,5.0000,0.9902,1621.0000
2893.0000,6.0000,0.9931,3137.0000
2893.0000,7.0000,0.9817,2938.0000
2893.0000,8.0000,0.9999,4871.0000
56153.0000,1.0000,0.5816,41.0000
56153.0000,2.0000,0.6088,91.0000
56153.0000,3.0000,0.6254,612.0000
56153.0000,4.0000,0.7387,1121.0000
56153.0000,5.0000,0.7492,997.0000
56153.0000,6.0000,0.7458,725.0000
56153.0000,7.0000,0.7502,1419.0000
56153.0000,8.0000,0.7492,2136.0000
291311.0000,1.0000,0.4929,135.0000
291311.0000,2.0000,0.4941,607.0000
291311.0000,3.0000,0.4947,1281.0000
291311.0000,4.0000,0.5001,1002.0000
291311.0000,5.0000,0.5041,1728.0000
291311.0000,6.0000,0.5021,3555.0000
291311.0000,7.0000,0.5043,3835.0000
291311.0000,8.0000,0.5016,5232.0000
