m,steps,squared_overlap,bfgs_evaluations
1981.0000,1.0000,0.5117,214.0000
1981.0000,2.0000,0.9517,235.0000
1981.0000,3.0000,1.0000,996.0000
1981.0000,4.0000,0.9712,1141.0000
1981.0000,5.0000,1.0000,1260.0000
1981.0000,6.0000,1.0000,1341.0000
1981.0000,7.0000,1.0000,1067.0000
1981.0000,8.0000,1.0000,1199.0000
319.0000,1.0000,0.3615,287.0000
319.0000,2.0000,0.3892,377.0000
319.0000,3.0000,0.4032,201.0000
319.0000,4.0000,0.4279,371.0000
319.0000,5.0000,0.4532,1319.0000
319.0000,6.0000,0.5159,1719.0000
319.0000,7.0000,0.5561,593.0000
319.0000,8.0000,0.6106,2262.0000
69169.0000,1.0000,0.3746,408.0000
69169.0000,2.0000,0.4005,780.0000
69169.0000,3.0000,0.4257,419.0000
69169.0000,4.0000,0.4372,672.0000
69169.0000,5.0000,0.4493,1524.0000
69169.0000,6.0000,0.4384,2056.0000
2893.0000,1.0000,0.5134,186.0000
2893.0000,2.0000,0.2074,522.0000
2893.0000,3.0000,0.6383,1658.0000
2893.0000,4.0000,0.8288,2495.0000
2893.0000,5.0000,0.9619,1093.0000
2893.0000,6.0000,0.9221,1678.0000
2893.0000,7.0000,1.0000,4955.0000
2893.0000,8.0000,1.0000,5412.0000
56153.0000,1.0000,0.5796,139.0000
56153.0000,2.0000,0.6015,624.0000
56153.0000,3.0000,0.6746,852.0000
56153.0000,4.0000,0.6884,1022.0000
56153.0000,5.0000,0.7478,2172.0000
56153.0000,6.0000,0.7459,1033.0000
56153.0000,7.0000,0.7459,2748.0000
56153.0000,8.0000,0.7466,1307.0000
291311.0000,1.0000,0.4880,407.0000
291311.0000,2.0000,0.4951,558.0000
291311.0000,3.0000,0.4985,740.0000
291311.0000,4.0000,0.5001,1860.0000
291311.0000,5.0000,0.5085,1153.0000
291311.0000,6.0000,0.5039,2337.0000
291311.0000,7.0000,0.5112,4085.0000
291311.0000,8.0000,0.5068,3036.0000
