m,steps,squared_overlap,bfgs_evaluations
1981.0000,1.0000,0.5229,93.0000
1981.0000,2.0000,0.8776,213.0000
1981.0000,3.0000,1.0000,927.0000
1981.0000,4.0000,1.0000,1048.0000
1981.0000,5.0000,1.0000,595.0000
1981.0000,6.0000,1.0000,782.0000
1981.0000,7.0000,1.0000,1006.0000
1981.0000,8.0000,1.0000,872.0000
2893.0000,1.0000,0.5053,68.0000
2893.0000,2.0000,0.5834,248.0000
2893.0000,3.0000,0.7286,647.0000
2893.0000,4.0000,0.6738,1601.0000
2893.0000,5.0000,0.9210,2000.0000
2893.0000,6.0000,0.8910,2400.0000
2893.0000,7.0000,0.9841,2800.0000
2893.0000,8.0000,0.9800,3200.0000
56153.0000,1.0000,0.5766,71.0000
56153.0000,2.0000,0.6952,319.0000
56153.0000,3.0000,0.6740,650.0000
56153.0000,4.0000,0.6915,941.0000
56153.0000,5.0000,0.7533,1898.0000
56153.0000,6.0000,0.7464,1726.0000
56153.0000,7.0000,0.7512,1129.0000
56153.0000,8.0000,0.7487,1350.0000
291311.0000,1.0000,0.4910,70.0000
291311.0000,2.0000,0.4947,213.0000
291311.0000,3.0000,0.5003,490.0000
291311.0000,4.0000,0.5006,1191.0000
291311.0000,5.0000,0.5025,1953.0000
291311.0000,6.0000,0.5106,2401.0000
